item,m_sg,m_pl,f_sg,f_pl
366,británico,británicos,británica,británicas
367,norteamericano,norteamericanos,norteamericana,norteamericanas
368,inversor,inversores,inversora,inversoras
369,definitivo,definitivos,definitiva,definitivas
370,esterlino,esterlinos,esterlina,esterlinas
371,negativo,negativos,negativa,negativas
372,mediano,medianos,mediana,medianas
373,elevado,elevados,elevada,elevadas
374,encontrado,encontrados,encontrada,encontradas
375,retroactivo,retroactivos,retroactiva,
376,ajeno,ajenos,ajena,ajenas
377,adherido,adheridos,adherida,
378,añejo,añejos,añeja,añejas
379,estratégico,estratégicos,estratégica,estratégicas
380,compacto,compactos,compacta,compactas
381,anunciado,anunciados,anunciada,
382,automovilístico,automovilísticos,automovilística,automovilísticas
383,mobiliario,mobiliarios,,
384,bancario,bancarios,bancaria,bancarias
385,regulado,regulados,regulada,reguladas
386,denominado,denominados,denominada,denominadas
387,involucrado,involucrados,involucrada,involucradas
388,sometido,sometidos,sometida,sometidas
389,vinculado,vinculados,vinculada,vinculadas
390,obligado,obligados,obligada,obligadas
391,simplificados,simplificadoses,simplificada,simplificadas
392,masculino,masculinos,masculina,masculinas
393,pleno,plenos,plena,plenas
394,innovador,innovadores,innovadora,innovadoras
395,beneficiado,beneficiados,beneficiada,beneficiadas
396,entero,enteros,entera,enteras
397,deseado,deseados,deseada,
398,explosivo,explosivos,explosiva,explosivas
399,sostenido,sostenidos,sostenida,sostenidas
400,alterado,alterados,alterada,alteradas
401,originario,originarios,originaria,originarias
402,femenino,femeninos,femenina,femeninas
403,italiano,italianos,italiana,italianas
404,cortado,cortados,cortada,cortadas
405,invicto,invictos,invicta,
406,polémico,polémicos,polémica,polémicas
407,jamaicano,jamaicanos,jamaicana,jamaicanas
408,glorioso,gloriosos,gloriosa,gloriosas
409,exitoso,exitosos,exitosa,exitosas
410,cubierto,cubiertos,cubierta,cubiertas
411,dilatado,dilatados,dilatada,dilatadas
412,positivo,positivos,positiva,positivas
413,séptimo,séptimos,séptima,séptimas
414,ganador,ganadores,ganadora,ganadoras
415,incómodo,incómodos,incómoda,
